Customer,Invoice,Invoice Date,Transaction Type,Transaction Date,Amount,Open Balance,Payment Applied
80252500,2224,10/29/04,PMT,10/29/04,-2400,0,TRUE
80252500,2224,10/29/04,INV,11/19/04,360,0,FALSE
80252500,2224,10/29/04,INV,11/22/04,4599.6,0,FALSE
80252500,2224,10/29/04,PMT,11/19/04,-2400,0,TRUE
80252500,2224,10/29/04,ADJ,9/9/15,-159.6,0,TRUE
83784300,70811,7/8/11,PMT,7/8/11,-918.78,-918.78,FALSE
82985000,1872,12/31/11,CRM,12/31/11,-372.81,-372.81,FALSE
80280000,1890,3/31/12,CRM,3/31/12,-3394.51,-3394.51,FALSE
83032500,1908,3/31/12,CRM,3/31/12,-11257.01,-10,TRUE
83032500,1908,3/31/12,PMT,4/30/12,11247.01,-10,FALSE
83633500,67940,5/1/12,INV,5/1/12,9481.62,981.62,FALSE
83633500,67940,5/1/12,PMT,4/1/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,5/6/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,5/30/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,6/30/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,8/5/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,8/25/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,9/29/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,10/27/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,12/8/14,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,1/5/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,2/3/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,3/6/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,4/2/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,4/27/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,6/1/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,7/8/15,-500,981.62,TRUE
83633500,67940,5/1/12,PMT,8/3/15,-500,981.62,TRUE
80280000,8794,10/3/12,PMT,10/3/12,-135.1,0,TRUE
80280000,8794,10/3/12,ADJ,9/9/15,135.1,0,FALSE
83281000,9264,12/10/12,PMT,12/10/12,-1759.2,-1759.2,FALSE
80280000,1973,12/31/12,CRM,12/31/12,-4358.5,-4358.5,FALSE
80760200,1982,12/31/12,CRM,12/31/12,-781.79,-781.79,FALSE
80760200,1982,12/31/12,ADJ,9/9/15,-2383.53,-781.79,TRUE
80760200,1982,12/31/12,PMT,9/9/15,2383.53,-781.79,FALSE
80832700,1979,12/31/12,CRM,12/31/12,-1024.01,-1024.01,FALSE
83032500,69364,1/30/13,PMT,1/30/13,-146.34,-146.34,FALSE
80832700,2006,3/31/13,CRM,3/31/13,-1232.99,-1232.99,FALSE
82985000,2015,3/31/13,CRM,3/31/13,-191.19,-191.19,FALSE
83281000,2017,3/31/13,CRM,3/31/13,-19.13,-19.13,FALSE
80320000,2048,6/29/13,CRM,6/29/13,-275.79,-275.79,FALSE
81780000,2036,6/29/13,CRM,6/29/13,-34302.19,-34302.19,FALSE
81266000,2072,9/30/13,CRM,9/30/13,-2102.62,-2102.62,FALSE
82985000,2065,9/30/13,CRM,9/30/13,-349.55,-349.55,FALSE
81885200,71250,10/15/13,PMT,10/15/13,-139.35,-139.35,FALSE
83281000,7127,10/18/13,PMT,10/18/13,-1270.2,-1270.2,FALSE
81266000,2103,12/23/13,CRM,12/23/13,-2071.06,-2071.06,FALSE
81730000,2128,3/31/14,CRM,3/31/14,-2353.29,-2353.29,FALSE
81780000,2148,6/30/14,CRM,6/30/14,-40862.52,-40862.52,FALSE
80746000,3746,8/19/14,PMT,8/19/14,-82,-82,FALSE
80921700,74025,9/12/14,INV,9/12/14,142.53,142.53,FALSE
80921700,4021,9/26/14,PMT,9/26/14,-39.18,-39.18,FALSE
82985000,2190,9/30/14,CRM,9/30/14,-183.1,-183.1,FALSE
82712500,74171,10/1/14,INV,10/1/14,3549.25,346.9,FALSE
82712500,74171,10/1/14,PMT,10/23/14,-3170.33,346.9,TRUE
82712500,74171,10/1/14,DSC,10/23/14,-32.02,346.9,TRUE
81418000,2203,11/19/14,CRM,11/19/14,-670.08,-670.08,FALSE
82877500,74653,12/8/14,INV,12/8/14,2146.7,0,FALSE
82877500,74653,12/8/14,ADJ,9/9/15,-2146.7,0,TRUE
84137500,2204,12/8/14,CRM,12/8/14,-1083.25,-1083.25,FALSE
81157500,2217,12/31/14,CRM,12/31/14,-1192.77,-1192.77,FALSE
84137500,2220,12/31/14,CRM,12/31/14,-32.49,-32.49,FALSE
82187500,4740,1/15/15,PMT,1/15/15,-35985.09,-35985.09,FALSE
81266000,4751,1/20/15,PMT,1/20/15,-160.13,-160.13,FALSE
82660000,74927,1/21/15,INV,1/21/15,5162.85,103.26,FALSE
82660000,74927,1/21/15,PMT,4/16/15,-3059.59,103.26,TRUE
